index,store_name,city,state,date,store_segment,store_latitude,store_longitude,sales,pedidos,avg_ticket,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,y
6378,AR PAZZI ,RIO DE JANEIRO,RJ,2021-01-30,FOOD,-22.8858199,-43.2792183,886.0,14,63.29,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,247.0,1091.8,736.4,1432.8,583.6,566.9,230.6,546.8,1068.5,941.9,1411.0,1252.4
6666,AR PAZZI ,RIO DE JANEIRO,RJ,2021-01-31,FOOD,-22.8858199,-43.2792183,1252.4,20,62.62,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,247.0,1091.8,736.4,1432.8,583.6,566.9,230.6,546.8,1068.5,941.9,791.82
6878,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-01,FOOD,-22.8858199,-43.2792183,791.82,10,79.18,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,247.0,1091.8,736.4,1432.8,583.6,566.9,230.6,546.8,1068.5,153.0
7089,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-02,FOOD,-22.8858199,-43.2792183,153.0,2,76.5,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,247.0,1091.8,736.4,1432.8,583.6,566.9,230.6,546.8,15.9
7281,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-03,FOOD,-22.8858199,-43.2792183,15.9,1,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,247.0,1091.8,736.4,1432.8,583.6,566.9,230.6,102.9
7476,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-04,FOOD,-22.8858199,-43.2792183,102.9,2,51.45,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,247.0,1091.8,736.4,1432.8,583.6,566.9,570.24
7690,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-05,FOOD,-22.8858199,-43.2792183,570.24,9,63.36,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,247.0,1091.8,736.4,1432.8,583.6,51.5
8161,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-06,FOOD,-22.8858199,-43.2792183,51.5,1,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,247.0,1091.8,736.4,1432.8,119.3
8292,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-07,FOOD,-22.8858199,-43.2792183,119.3,2,59.65,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,247.0,1091.8,736.4,15.9
8605,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-08,FOOD,-22.8858199,-43.2792183,15.9,1,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,247.0,1091.8,62.0
8790,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-09,FOOD,-22.8858199,-43.2792183,62.0,1,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,247.0,64.9
9013,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-10,FOOD,-22.8858199,-43.2792183,64.9,1,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,364.6,19.5
9154,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-11,FOOD,-22.8858199,-43.2792183,19.5,1,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,376.0,51.9
